,movie_id,crew_department,crew_id,crew_job,crew_name
0,862,Directing,7879.0,Director,John Lasseter
0,862,Writing,12891.0,Screenplay,Joss Whedon
0,862,Writing,7.0,Screenplay,Andrew Stanton
0,862,Writing,12892.0,Screenplay,Joel Cohen
0,862,Writing,12893.0,Screenplay,Alec Sokolow
0,862,Production,12894.0,Producer,Bonnie Arnold
0,862,Production,12895.0,Executive Producer,Ed Catmull
0,862,Production,12896.0,Producer,Ralph Guggenheim
0,862,Production,12897.0,Executive Producer,Steve Jobs
0,862,Editing,8.0,Editor,Lee Unkrich
0,862,Art,7883.0,Art Direction,Ralph Eggleston
0,862,Editing,1168870.0,Editor,Robert Gordon
0,862,Sound,1552883.0,Foley Editor,Mary Helen Leasman
0,862,Visual Effects,1453514.0,Animation,Kim Blanchette
0,862,Sound,1414182.0,ADR Editor,Marilyn McCoppen
0,862,Sound,7885.0,Orchestrator,Randy Newman
0,862,Editing,1429549.0,Color Timer,Dale E. Grahn
0,862,Visual Effects,7949.0,CG Painter,Robin Cooper
0,862,Writing,7879.0,Original Story,John Lasseter
0,862,Writing,12890.0,Original Story,Pete Docter
0,862,Writing,7911.0,Original Story,Joe Ranft
0,862,Crew,1629419.0,Post Production Supervisor,Patsy Bouge
0,862,Art,7961.0,Sculptor,Norm DeCarlo
0,862,Visual Effects,12905.0,Animation Director,Ash Brannon
0,862,Sound,7885.0,Music,Randy Newman
0,862,Directing,1748707.0,Layout,Roman Figun
0,862,Sound,4949.0,Orchestrator,Don Davis
0,862,Sound,1372885.0,Music Editor,James Flamberg
0,862,Editing,1739962.0,Negative Cutter,Mary Beth Smith
0,862,Editing,1748513.0,Negative Cutter,Rick Mackay
0,862,Art,1458006.0,Title Designer,Susan Bradley
0,862,Crew,1748557.0,Supervising Technical Director,William Reeves
0,862,Sound,7885.0,Songs,Randy Newman
0,862,Writing,7.0,Original Story,Andrew Stanton
0,862,Crew,12890.0,Supervising Animator,Pete Docter
0,862,Sound,2216.0,Sound Designer,Gary Rydstrom
0,862,Production,12909.0,Production Supervisor,Karen Robert Jackson
0,862,Crew,953331.0,Executive Music Producer,Chris Montan
0,862,Visual Effects,7893.0,Animation Director,Rich Quade
0,862,Visual Effects,8025.0,Animation,Michael Berenstein
0,862,Visual Effects,78009.0,Animation,Colin Brady
0,862,Visual Effects,1748682.0,Animation,Davey Crockett Feiten
0,862,Visual Effects,1454030.0,Animation,Angie Glocka
0,862,Visual Effects,1748683.0,Animation,Rex Grignon
0,862,Visual Effects,1748684.0,Animation,Tom K. Gurney
0,862,Visual Effects,8029.0,Animation,Jimmy Hayward
0,862,Visual Effects,1426773.0,Animation,Hal T. Hickel
0,862,Visual Effects,8035.0,Animation,Karen Kiser
0,862,Visual Effects,1748688.0,Animation,Anthony B. LaMolinara
0,862,Visual Effects,587314.0,Animation,Guionne Leroy
0,862,Visual Effects,7918.0,Animation,Bud Luckey
0,862,Visual Effects,1748689.0,Animation,Les Major
0,862,Visual Effects,7892.0,Animation,Glenn McQueen
0,862,Visual Effects,555795.0,Animation,Mark Oftedal
0,862,Visual Effects,7882.0,Animation,Jeff Pidgeon
0,862,Visual Effects,8017.0,Animation,Jeff Pratt
0,862,Visual Effects,1184140.0,Animation,Steve Rabatich
0,862,Visual Effects,8049.0,Animation,Roger Rose
0,862,Visual Effects,1509559.0,Animation,Steve Segal
0,862,Visual Effects,1748691.0,Animation,Doug Sheppeck
0,862,Visual Effects,8050.0,Animation,Alan Sperling
0,862,Visual Effects,8010.0,Animation,Doug Sweetland
0,862,Visual Effects,8044.0,Animation,David Tart
0,862,Visual Effects,1454034.0,Animation,Ken Willard
0,862,Visual Effects,7887.0,Visual Effects Supervisor,Thomas Porter
0,862,Visual Effects,1406878.0,Visual Effects,Mark Thomas Henne
0,862,Visual Effects,1748698.0,Visual Effects,Oren Jacob
0,862,Visual Effects,1748699.0,Visual Effects,Darwyn Peachey
0,862,Visual Effects,1748701.0,Visual Effects,Mitch Prater
0,862,Visual Effects,1748703.0,Visual Effects,Brian M. Rosen
0,862,Lighting,12912.0,Lighting Supervisor,Sharon Calahan
0,862,Lighting,7899.0,Lighting Supervisor,Galyn Susman
0,862,Visual Effects,12915.0,CG Painter,William Cone
0,862,Art,1748705.0,Sculptor,Shelley Daniels Lekven
0,862,Visual Effects,7889.0,Character Designer,Bob Pauley
0,862,Visual Effects,7918.0,Character Designer,Bud Luckey
0,862,Visual Effects,7.0,Character Designer,Andrew Stanton
0,862,Visual Effects,12915.0,Character Designer,William Cone
0,862,Visual Effects,1748706.0,Character Designer,Steve Johnson
